,Sr no,Star_name,Distance_of_Star,Mass_of_Star,Radius_of_Star,Dwarf_name,Distance_of_Dwarf,Mass_of_Dwarf,Radius_of_Dwarf
43,43,Alhena,109,2.8,3.3,WISEA 1101+5400,111.0,,
44,44,Peacock,180,5.9,4.8,,,,
45,45,Alsephina[2],80,2.4,2.9,HB 2124-4228,113.0,94,1.21
46,46,Mirzam,500,13.5,10,,,,
47,47,Polaris,430,5.4,39,2MASSI J1726000+153819,114.0,24,1.4
48,48,Alphard,180,3,50,,,,
49,49,Mintaka,1200,24,16.5,2MASSW J1239272+551537 [de],119.0,,
50,50,Scheat,196,2.1,95,,,,
51,51,Almaaz,653,15,140,Teegarden's star,12.578,80,1.27
52,52,Rasalgethi,360,2.8,280,,,,
53,53,Tau Ceti,11.9,0.783,0.893,2M1510,120.0,40 + 39 + ?,
54,54,Delta Pavonis,19.92,0.991,1.22,,,,
55,55,Ran,10.48,0.82,0.74,2MASS J11544223-3400390 [de],129.0,37,1.5
56,56,V382 Carinae,"8,900",20,485,,,,
57,57,Eta Carinae,"7,500",100,60–881,DEN 1048-3956,13.15,77,1.07
58,58,Delta Cephei,887,4.5,44.5,,,,
59,59,Mu Cephei,"6,000",19.2,972,UGPS J072227.51-054031.2,13.4,26,0.98
60,60,Titawin,44.25,1.27,1.48,,,,
61,61,Rho Cassiopeiae,"8,154",22,636-981,2MASS J01415823-4633574 [de],130.0,20,1.61
62,62,P Cygni,"5,545",30,76,,,,
63,63,La Superba,"1,000",,129 - 342,DENIS-P J035726.9-441730 [de],130.0,,
64,64,VV Cephei,"4,900",18.2,"516 - 1,050",,,,
65,65,61 Cygni,11.41,0.7,0.665,2MASS J00332386-1521309 [de],131.0,29,1.43
66,66,R Doradus,178,0.7 - 1.0,298,,,,
67,67,Polaris Australis,281,1.59,3.74,WISE 1841+7000,131.1,,
68,68,R Coronae Borealis,"4,566",0.85,85,,,,
69,69,54 Piscium,36.1,0.76,0.94,TWA 26,137.0,30,2.2
70,70,Mira,300,1.2,370,,,,
71,71,RW Cephei,"14,000",13.9,"1,158",2MASSW J1841086+311727,138.0,67,1.01
72,72,Lacaille 8760,12.87,0.6,0.51,,,,
73,73,V838 Monocerotis,"19,896",?,380 - 750,2MASS J04362788-4114465,142.0,39,1.97
74,74,HD 140283,190,?,1.4,,,,
75,75,II Pegasi,130,0.8,3.4,WISE 0106+1518,142.9,,
76,76,VY Canis Majoris,"3,900",17,"1,420",,,,
77,77,Pistol Star,"25,000",100,320,2MASS J00250365+4759191AB,143.0,,
78,78,S Doradus,"1,69,000",24,380,,,,
79,79,UY Scuti,"5,100",7–10,755,2MASS J23225299-6151275,148.0,17,1.59
80,80,Barnard's Star,5.98,0.14,0.2,,,,
81,81,Luhman 16,6.52,0.04,?,SDSS J141659.78+500626.4 [de],149.0,59,0.99
82,82,Proxima Centauri,4.25,0.12,0.15,,,,
83,83,KIC 8462852,"1,470",1.43,1.58,2MASS J02411151-0326587 [de],152.0,27,1.41
84,84,R136a1,"1,63,000",290,32,,,,
85,85,Melnick 42,"1,63,000",189,21.1,2MASSW J2208136+292121,154.0,27,1.41
86,86,WR 102,"18,134",19,0.39,,,,
87,87,VFTS 352,"1,64,000",57.48,14.47,2MASS J02340093-6442068,155.0,20,1.62
88,88,YBP 1194,"2,772",1.01,0.99,,,,
89,89,Gliese 1214,47.5,0.16,0.21,DENIS J081730.0-615520,16.1,44,0.94
90,90,NML Cygni,"5,251",50,"1,640 - 2,770",,,,
91,91,VB 10,18.72,0.075,0.1,DEN 0255-4700,16.2,80,0.97
92,92,WOH G64,"1,63,000",<20,"1,540 - 1,730",,,,
93,93,TRAPPIST-1,39.6,0.089,0.12,WISE 1639-6847,16.3,,
94,94,2MASS J0523-1403,40.3,0.07,0.086,,,,
95,95,WISE 0855−0714,7.27,0.003,?,2MASSI J0117474-340325 [de],163.0,20,1.62
96,96,Icarus,"14,40,00,00,000",33,?,,,,
